nametype,reclat,name,fall,recclass,id,geolocation,year,:@computed_region_cbhk_fwbd,mass,:@computed_region_nnqa_25f4,reclong
Valid,50.775000,Aachen,Fell,L5,1,"{'type': 'Point', 'coordinates': [6.08333, 50.775]}",1880-01-01T00:00:00.000,,21,,6.083330
Valid,56.183330,Aarhus,Fell,H6,2,"{'type': 'Point', 'coordinates': [10.23333, 56.18333]}",1951-01-01T00:00:00.000,,720,,10.233330
Valid,54.216670,Abee,Fell,EH4,6,"{'type': 'Point', 'coordinates': [-113, 54.21667]}",1952-01-01T00:00:00.000,,107000,,-113.000000
Valid,16.883330,Acapulco,Fell,Acapulcoite,10,"{'type': 'Point', 'coordinates': [-99.9, 16.88333]}",1976-01-01T00:00:00.000,,1914,,-99.900000
Valid,-33.166670,Achiras,Fell,L6,370,"{'type': 'Point', 'coordinates': [-64.95, -33.16667]}",1902-01-01T00:00:00.000,,780,,-64.950000
Valid,32.100000,Adhi Kot,Fell,EH4,379,"{'type': 'Point', 'coordinates': [71.8, 32.1]}",1919-01-01T00:00:00.000,,4239,,71.800000
Valid,44.833330,Adzhi-Bogdo (stone),Fell,LL3-6,390,"{'type': 'Point', 'coordinates': [95.16667, 44.83333]}",1949-01-01T00:00:00.000,,910,,95.166670
Valid,44.216670,Agen,Fell,H5,392,"{'type': 'Point', 'coordinates': [0.61667, 44.21667]}",1814-01-01T00:00:00.000,,30000,,0.616670
Valid,-31.600000,Aguada,Fell,L6,398,"{'type': 'Point', 'coordinates': [-65.23333, -31.6]}",1930-01-01T00:00:00.000,,1620,,-65.233330
Valid,-30.866670,Aguila Blanca,Fell,L,417,"{'type': 'Point', 'coordinates': [-64.55, -30.86667]}",1920-01-01T00:00:00.000,,1440,,-64.550000
Valid,16.398060,Aioun el Atrouss,Fell,Diogenite-pm,423,"{'type': 'Point', 'coordinates': [-9.57028, 16.39806]}",1974-01-01T00:00:00.000,,1000,,-9.570280
