id,url,name,season,number,type,airdate,airtime,runtime,average_rating,summary,medium_image,original_image
869671,https://www.tvmaze.com/episodes/869671/westworld-1x01-the-original,The Original,1,1,regular,2016-10-02,21:00,68,8,"A woman named Dolores is a free spirit in the Old West... and unaware that she's actually an android, programmed to entertain rich guests seeking to act out their fantasies in an idealized vision of the 1880s. However, the people in charge soon realize that their androids are acting in ways that they didn't anticipate.",https://static.tvmaze.com/uploads/images/medium_landscape/78/195475.jpg,https://static.tvmaze.com/uploads/images/original_untouched/78/195475.jpg
911201,https://www.tvmaze.com/episodes/911201/westworld-1x02-chestnut,Chestnut,1,2,regular,2016-10-09,21:00,60,7.7,"Bernard suspects that someone is sabotaging the hosts. Meanwhile, the Man continues his search for the deeper game, and Maeve finds herself in a world of hurt... literally.",https://static.tvmaze.com/uploads/images/medium_landscape/78/195436.jpg,https://static.tvmaze.com/uploads/images/original_untouched/78/195436.jpg
911204,https://www.tvmaze.com/episodes/911204/westworld-1x03-the-stray,The Stray,1,3,regular,2016-10-16,21:00,60,7.6,"Bernard continues to investigate Dolores' supposed malfunction, and realizes that he has something unexpected on his hands. Meanwhile, Robert talks about the early days of the park, and Teddy receives a new role and narrative.",https://static.tvmaze.com/uploads/images/medium_landscape/79/198183.jpg,https://static.tvmaze.com/uploads/images/original_untouched/79/198183.jpg
911205,https://www.tvmaze.com/episodes/911205/westworld-1x04-dissonance-theory,Dissonance Theory,1,4,regular,2016-10-23,21:00,60,7.9,"While Dolores joins William and Logan on their adventure, the Man in Black continues his search for the entrance to the Maze and meets Armistice. Meanwhile, Robert reveals some of his true power to Theresa and advises her to stay out of his way.",https://static.tvmaze.com/uploads/images/medium_landscape/80/201367.jpg,https://static.tvmaze.com/uploads/images/original_untouched/80/201367.jpg
927174,https://www.tvmaze.com/episodes/927174/westworld-1x05-contrapasso,Contrapasso,1,5,regular,2016-10-30,21:00,60,8,"Dolores takes the first step on her path of discovery by deciding to write a new story for herself... where she isn't the damsel. Meanwhile, Elise discovers the Woodcutter's secret, and Robert pays the Man a visit.",https://static.tvmaze.com/uploads/images/medium_landscape/81/204265.jpg,https://static.tvmaze.com/uploads/images/original_untouched/81/204265.jpg
932057,https://www.tvmaze.com/episodes/932057/westworld-1x06-the-adversary,The Adversary,1,6,regular,2016-11-06,21:00,60,8,"While Maeve convinces Felix to show her ""upstairs,"" Teddy and the Man close in on the maze. Meanwhile, Bernard and Elsie close in on the identity of the person who is stealing secrets from the park, while Lee meets with a Delos executive director.",https://static.tvmaze.com/uploads/images/medium_landscape/82/207324.jpg,https://static.tvmaze.com/uploads/images/original_untouched/82/207324.jpg
938404,https://www.tvmaze.com/episodes/938404/westworld-1x07-trompe-loeil,Trompe L'Oeil,1,7,regular,2016-11-13,21:00,60,8.6,"While William and Dolores travel to the unclaimed territories, Charlotte and Theresa make plans to force Robert out of the park using Clementine. Meanwhile, Maeve continues her plans to escape Westworld.",https://static.tvmaze.com/uploads/images/medium_landscape/83/209400.jpg,https://static.tvmaze.com/uploads/images/original_untouched/83/209400.jpg
943065,https://www.tvmaze.com/episodes/943065/westworld-1x08-trace-decay,Trace Decay,1,8,regular,2016-11-20,21:00,60,7.9,"Bernard tries to cope with what he did under Robert's orders. Meanwhile, William and Dolores find a town, and Maeve remembers more of her past. Meanwhile, the Man reveals his past to Teddy.",https://static.tvmaze.com/uploads/images/medium_landscape/84/211554.jpg,https://static.tvmaze.com/uploads/images/original_untouched/84/211554.jpg
943066,https://www.tvmaze.com/episodes/943066/westworld-1x09-the-well-tempered-clavier,The Well-Tempered Clavier,1,9,regular,2016-11-27,21:00,60,8.5,"Bernard forces Robert to take him back into his own memories, while the Man meets with Charlotte. Meanwhile, Dolores escapes the Confederado camp and William gives Logan new orders.",https://static.tvmaze.com/uploads/images/medium_landscape/85/213932.jpg,https://static.tvmaze.com/uploads/images/original_untouched/85/213932.jpg
943067,https://www.tvmaze.com/episodes/943067/westworld-1x10-the-bicameral-mind,The Bicameral Mind,1,10,regular,2016-12-04,21:00,90,8.7,"Delores finds out the truth about William's fate. Meanwhile, Maeve organizes an escape plan, only to discover that someone else is pulling the strings. And Robert plays the final piece in his grand narrative.",https://static.tvmaze.com/uploads/images/medium_landscape/86/216453.jpg,https://static.tvmaze.com/uploads/images/original_untouched/86/216453.jpg
